[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] 
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] *****************************************
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] *****************************************

=====================
DDP

=====================
DDP


====================================
DDP


====================================
DDP
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False

Gradient accumulation steps needed with B: 16 and T: 1024 for total batch size: 524288 = 16
total params: 124475904
loaded len : 338025
loaded len : 338025
step : 82 | loss: 4.83492374420166 | lr: 0.0005997 | dt: 2591.68 ms | tokens/sec: 202_296.278170 | norm: 1.60
step : 83 | loss: 4.7947187423706055 | lr: 0.0005997 | dt: 2594.85 ms | tokens/sec: 202_049.364902 | norm: 1.00
step : 84 | loss: 4.777286529541016 | lr: 0.0005997 | dt: 2590.13 ms | tokens/sec: 202_417.389960 | norm: 1.36
step : 85 | loss: 4.780583381652832 | lr: 0.0005997 | dt: 2600.59 ms | tokens/sec: 201_603.778738 | norm: 1.29
step : 86 | loss: 4.747002124786377 | lr: 0.0005997 | dt: 2591.39 ms | tokens/sec: 202_319.096582 | norm: 1.08
step : 87 | loss: 4.734467506408691 | lr: 0.0005997 | dt: 2600.51 ms | tokens/sec: 201_609.545534 | norm: 1.39
step : 88 | loss: 4.711470603942871 | lr: 0.0005997 | dt: 2595.63 ms | tokens/sec: 201_988.584188 | norm: 1.48
step : 89 | loss: 4.681963920593262 | lr: 0.0005997 | dt: 2596.97 ms | tokens/sec: 201_884.479007 | norm: 1.10
step : 90 | loss: 4.6810150146484375 | lr: 0.0005997 | dt: 2596.45 ms | tokens/sec: 201_924.632272 | norm: 1.50
step : 91 | loss: 4.659510612487793 | lr: 0.0005997 | dt: 2599.18 ms | tokens/sec: 201_712.923218 | norm: 1.67
